ID|Work_Item_Type|Title|Assigned_To|State|Step_Action|Step_Expected_Result
|Test Case|TC-01-HU-136903 - Módulo CI debe cargar en ≤14.5s desde clic hasta form interactivo (Happy Path)||Design|Configurar entorno: Aplicación CI desplegada con optimización aplicada en entorno QA. Usuario autenticado con perfil estándar. Cronómetro/herramienta de medición lista. Clasificación: Happy Path. Criterio: tiempo de carga ≤14.5s.|
|Test Case|TC-07-HU-136903 - Indicador Cargando debe aparecer cuando la carga supera 2 segundos||Design|Configurar entorno: Módulo CI o CI Express en entorno donde la carga tarde más de 2s. Clasificación: Happy Path / UX. Criterio: indicador de carga si supera 2s.|
|||||||Abrir el módulo FRMcargar e iniciar medición.|El sistema comienza a procesar.
|||||||Observar la pantalla durante los primeros 2 segundos de carga.|Antes de los 2 segundos no se muestra indicador de carga.
|||||||Observar la pantalla cuando se superan los 2 segundos de carga.|Se muestra el indicador "Cargando" (spinner, barra de progreso o bombillo CI). El indicador desaparece cuando la carga finaliza.
|Test Case|TC-08-HU-136903 - La ventana debe ser movible mientras se está cargando||Design|Configurar entorno: Módulo CI o CI Express en entorno donde la carga tarde más de 2s (indicador visible). Clasificación: Happy Path / UX. Criterio: ventana movible durante carga.|
|||||||Iniciar la apertura del módulo FRMcargar.|El formulario comienza a cargar y el indicador "Cargando" aparece.
|||||||Mientras el indicador está activo, hacer clic en la barra de título de la ventana y arrastrarla a otra posición.|La ventana se mueve correctamente a la nueva posición. La carga no se interrumpe.
|Test Case|TC-09-HU-136903 - La ventana debe poder cancelarse mientras se está cargando||Design|Configurar entorno: Módulo CI o CI Express en entorno donde la carga tarde más de 2s. Clasificación: Happy Path / UX. Criterio: ventana cancelable durante carga.|
|||||||Iniciar la apertura del módulo FRMcargar.|El formulario comienza a cargar y el indicador "Cargando" aparece.
|||||||Verificar que existe un control visible para cancelar la carga (botón Cancelar, ×, o equivalente).|El control de cancelación está visible e interactuable mientras la carga está en progreso.
|Test Case|TC-10-HU-136903 - Al cancelar la carga el form debe cerrarse y retornar al estado anterior||Design|Configurar entorno: Módulo CI o CI Express en entorno con carga >2s. Pantalla de origen conocida. Clasificación: Alterno. Criterio: comportamiento post-cancelación.|
|||||||Iniciar la apertura del módulo FRMcargar. Esperar a que aparezca el indicador de carga (>2s).|El indicador "Cargando" está visible.
|||||||Hacer clic en el control de cancelación (botón Cancelar, ×, o equivalente).|La carga se detiene inmediatamente.
|||||||Observar el resultado en pantalla.|El formulario FRMcargar se cierra completamente. El sistema retorna a la pantalla/estado anterior. No quedan datos parciales visibles.
|Test Case|TC-11-HU-136903 - Log de métricas debe registrar carga completada en CI con campos requeridos||Design|"Configurar entorno: Módulo CI con optimización aplicada. Acceso a la tabla de log en BD (supuesto provisional). Usuario de prueba identificado. Clasificación: Happy Path. Criterio: log de métricas — carga completada. ⚠️ Basado en supuesto provisional — pendiente PO: ubicación y formato real del log."|
|||||||Anotar la hora aproximada de inicio. Abrir el módulo FRMcargar de CI y esperar a que cargue completamente.|El formulario carga correctamente.
|||||||Consultar la tabla de log en BD filtrando por usuario de prueba y fecha/hora aproximada.|Existe un registro en la tabla de log correspondiente a esta apertura.
|||||||Verificar los campos del registro: usuario, fecha/hora, tiempo de carga (ms), módulo (CI), resultado (completado).|El registro contiene: usuario = usuario de prueba, fecha/hora = timestamp de la apertura, tiempo ms = tiempo medido, módulo = CI, resultado = completado. Ningún campo está nulo.
|Test Case|TC-12-HU-136903 - Log de métricas debe registrar carga completada en CI Express con campos requeridos||Design|"Configurar entorno: Módulo CI Express con optimización aplicada. Acceso a tabla de log en BD (supuesto provisional). Usuario de prueba identificado. Clasificación: Happy Path. Criterio: log — carga completada CI Express. ⚠️ Basado en supuesto provisional — pendiente PO."|
|||||||Anotar la hora aproximada de inicio. Abrir el módulo FRMcargar de CI Express y esperar a que cargue completamente.|El formulario carga correctamente.
|||||||Consultar la tabla de log filtrando por usuario y fecha/hora.|Existe un registro correspondiente a esta apertura.
|||||||Verificar los campos: usuario, fecha/hora, tiempo ms, módulo (CI Express), resultado (completado).|El registro contiene todos los campos requeridos con valores correctos. módulo = CI Express.
|Test Case|TC-13-HU-136903 - Log de métricas debe registrar cancelación con campos requeridos||Design|"Configurar entorno: Módulo CI o CI Express en entorno con carga >2s. Acceso a tabla de log en BD (supuesto provisional). Clasificación: Alterno. Criterio: log — cancelación. ⚠️ Basado en supuesto provisional — pendiente PO."|
|||||||Iniciar apertura del módulo FRMcargar. Esperar el indicador de carga. Hacer clic en el control de cancelación.|La carga se cancela y el form se cierra.
|||||||Consultar la tabla de log filtrando por usuario de prueba y fecha/hora.|Existe un registro correspondiente a esta cancelación.
|||||||Verificar los campos: usuario, fecha/hora, módulo, resultado.|El registro contiene: resultado = cancelado, usuario = usuario de prueba, fecha/hora = timestamp de la cancelación, módulo = CI o CI Express según corresponda.
|Test Case|TC-14-HU-136903 - Medición baseline debe registrar tiempo de carga antes de la optimización en QA||Design|Configurar entorno: Entorno QA SIN la optimización aplicada (versión previa). Herramienta de medición de tiempo lista. Clasificación: Borde / Prerequisito de validación. Criterio: baseline para comparación antes/después.|
|||||||Abrir el módulo FRMcargar de CI en entorno QA sin optimización. Iniciar medición desde el clic.|El formulario comienza a cargar.
|||||||Esperar a que el formulario esté completamente interactivo. Detener la medición. Registrar el tiempo obtenido.|El tiempo registrado representa el baseline antes de la optimización para CI. Valor esperado: ~29s (o el tiempo real medido en QA).
|||||||Repetir el paso anterior al menos 3 veces y calcular el promedio.|Se obtiene un tiempo promedio estable como baseline para CI. Este valor se usará como referencia en TC-15.
|||||||Repetir el mismo proceso para CI Express y registrar su baseline.|Se obtiene el baseline para CI Express.
|Test Case|TC-15-HU-136903 - Tiempo de carga debe reducirse respecto al baseline tras aplicar la optimización en QA||Design|Configurar entorno: Entorno QA CON la optimización aplicada. Baseline registrado en TC-14 disponible. Clasificación: Borde / Validación comparativa. Criterio: reducción medible ≥50% respecto al baseline en QA.|
|||||||Abrir el módulo FRMcargar de CI en entorno QA con optimización. Medir el tiempo (clic → form interactivo) al menos 3 veces y calcular el promedio.|El formulario carga correctamente en todas las mediciones.
|||||||Comparar el promedio obtenido con el baseline de CI registrado en TC-14. Calcular el porcentaje de reducción: ((baseline - nuevo) / baseline) × 100.|El tiempo promedio post-optimización es ≤50% del baseline de CI (reducción ≥50%). El tiempo también es ≤14.5s.
|||||||Repetir la medición para CI Express y comparar con su baseline.|El tiempo promedio de CI Express post-optimización también muestra una reducción ≥50% respecto a su baseline.
